,nppes_provider_city,drug_name,total_claim
0,NASHVILLE,HYDROCODONE-ACETAMINOPHEN,88527.0
1,KNOXVILLE,HYDROCODONE-ACETAMINOPHEN,78233.0
2,CHATTANOOGA,HYDROCODONE-ACETAMINOPHEN,68124.0
3,MEMPHIS,HYDROCODONE-ACETAMINOPHEN,67825.0
4,KNOXVILLE,OXYCODONE HCL,42034.0
5,JOHNSON CITY,HYDROCODONE-ACETAMINOPHEN,40985.0
6,KNOXVILLE,OXYCODONE-ACETAMINOPHEN,37908.0
7,JACKSON,HYDROCODONE-ACETAMINOPHEN,36334.0
8,NASHVILLE,OXYCODONE-ACETAMINOPHEN,34617.0
9,CHATTANOOGA,OXYCODONE-ACETAMINOPHEN,31771.0
10,KINGSPORT,HYDROCODONE-ACETAMINOPHEN,31582.0
11,KNOXVILLE,TRAMADOL HCL,29079.0
12,NASHVILLE,TRAMADOL HCL,28665.0
13,MEMPHIS,OXYCODONE-ACETAMINOPHEN,28630.0
14,NASHVILLE,OXYCODONE HCL,24297.0
15,MEMPHIS,TRAMADOL HCL,22922.0
16,MURFREESBORO,HYDROCODONE-ACETAMINOPHEN,22011.0
17,MORRISTOWN,HYDROCODONE-ACETAMINOPHEN,21380.0
18,CHATTANOOGA,TRAMADOL HCL,20557.0
19,CLEVELAND,HYDROCODONE-ACETAMINOPHEN,19980.0
20,BRISTOL,HYDROCODONE-ACETAMINOPHEN,17514.0
21,COOKEVILLE,HYDROCODONE-ACETAMINOPHEN,16834.0
22,GREENEVILLE,HYDROCODONE-ACETAMINOPHEN,16468.0
23,KNOXVILLE,MORPHINE SULFATE ER,16262.0
24,JOHNSON CITY,OXYCODONE-ACETAMINOPHEN,16144.0
25,COLUMBIA,HYDROCODONE-ACETAMINOPHEN,15512.0
26,CLARKSVILLE,HYDROCODONE-ACETAMINOPHEN,15315.0
27,HENDERSONVILLE,HYDROCODONE-ACETAMINOPHEN,15209.0
28,CHATTANOOGA,OXYCODONE HCL,14662.0
29,GERMANTOWN,HYDROCODONE-ACETAMINOPHEN,14146.0
30,LEBANON,HYDROCODONE-ACETAMINOPHEN,13333.0
31,JOHNSON CITY,TRAMADOL HCL,12918.0
32,JOHNSON CITY,OXYCODONE HCL,12892.0
33,MURFREESBORO,OXYCODONE-ACETAMINOPHEN,12375.0
34,ANTIOCH,OXYCODONE-ACETAMINOPHEN,12236.0
35,DYERSBURG,HYDROCODONE-ACETAMINOPHEN,12174.0
36,ANTIOCH,HYDROCODONE-ACETAMINOPHEN,12162.0
37,OAK RIDGE,HYDROCODONE-ACETAMINOPHEN,12142.0
38,KINGSPORT,OXYCODONE-ACETAMINOPHEN,12078.0
39,COOKEVILLE,OXYCODONE-ACETAMINOPHEN,11575.0
40,KINGSPORT,OXYCODONE HCL,11073.0
41,PARIS,HYDROCODONE-ACETAMINOPHEN,10666.0
42,CHATTANOOGA,MORPHINE SULFATE ER,10442.0
43,KINGSPORT,TRAMADOL HCL,10345.0
44,HIXSON,HYDROCODONE-ACETAMINOPHEN,10290.0
45,JACKSON,OXYCODONE-ACETAMINOPHEN,10017.0
46,NASHVILLE,MORPHINE SULFATE ER,10004.0
47,CORDOVA,HYDROCODONE-ACETAMINOPHEN,9640.0
48,JACKSON,TRAMADOL HCL,9504.0
49,CLARKSVILLE,OXYCODONE HCL,9328.0
50,GALLATIN,HYDROCODONE-ACETAMINOPHEN,9009.0
51,BRISTOL,OXYCODONE-ACETAMINOPHEN,8816.0
52,MANCHESTER,HYDROCODONE-ACETAMINOPHEN,8762.0
53,ONEIDA,OXYCODONE HCL,8750.0
54,HENDERSONVILLE,OXYCODONE-ACETAMINOPHEN,8606.0
55,COLUMBIA,OXYCODONE-ACETAMINOPHEN,8596.0
56,HERMITAGE,HYDROCODONE-ACETAMINOPHEN,8578.0
57,OAK RIDGE,OXYCODONE-ACETAMINOPHEN,8511.0
58,ONEIDA,HYDROCODONE-ACETAMINOPHEN,8489.0
59,CLEVELAND,OXYCODONE-ACETAMINOPHEN,8372.0
60,MEMPHIS,OXYCODONE HCL,8275.0
61,UNION CITY,HYDROCODONE-ACETAMINOPHEN,8130.0
62,FRANKLIN,HYDROCODONE-ACETAMINOPHEN,8050.0
63,JEFFERSON CITY,HYDROCODONE-ACETAMINOPHEN,7965.0
64,DICKSON,HYDROCODONE-ACETAMINOPHEN,7916.0
65,MARYVILLE,HYDROCODONE-ACETAMINOPHEN,7898.0
66,TULLAHOMA,HYDROCODONE-ACETAMINOPHEN,7895.0
67,MORRISTOWN,OXYCODONE-ACETAMINOPHEN,7836.0
68,CLARKSVILLE,OXYCODONE-ACETAMINOPHEN,7820.0
69,MC KENZIE,HYDROCODONE-ACETAMINOPHEN,7530.0
70,ATHENS,HYDROCODONE-ACETAMINOPHEN,7426.0
71,LAWRENCEBURG,HYDROCODONE-ACETAMINOPHEN,7263.0
72,CROSSVILLE,HYDROCODONE-ACETAMINOPHEN,7196.0
73,BARTLETT,HYDROCODONE-ACETAMINOPHEN,7178.0
74,SWEETWATER,HYDROCODONE-ACETAMINOPHEN,6887.0
75,CLEVELAND,OXYCODONE HCL,6741.0
76,BRENTWOOD,HYDROCODONE-ACETAMINOPHEN,6661.0
77,BRISTOL,OXYCODONE HCL,6533.0
78,ANTIOCH,OXYCODONE HCL,6461.0
79,LEBANON,OXYCODONE-ACETAMINOPHEN,6409.0
