fipscounty,county,opioid_prescriptions,non_opioid_prescriptions,all_prescriptions,prescribers,population,pct_opioid_prescriptions,pct_non_opioid_prescriptions,opioid_prescription_per_prescriber,non_opioid_prescription_per_prescriber
47037,DAVIDSON,4276,80193,84469,4965,678322,5.062212172512993,94.93778782748701,0.8612286002014099,16.15166163141994
47157,SHELBY,3578,77837,81415,3656,937847,4.394767548977461,95.60523245102253,0.9786652078774617,21.290207877461707
47093,KNOX,3292,62583,65875,2639,452286,4.997343453510437,95.00265654648956,1.2474422129594542,23.714664645699127
47065,HAMILTON,2429,47354,49783,1954,354589,4.87917562220035,95.12082437779965,1.2430910951893552,24.23439099283521
47179,WASHINGTON,1399,24367,25766,1061,126437,5.4296359543584565,94.57036404564154,1.3185673892554195,22.966069745523093
47163,SULLIVAN,1399,28677,30076,962,156519,4.651549408165979,95.34845059183402,1.4542619542619544,29.80977130977131
47149,RUTHERFORD,959,18935,19894,834,298456,4.82054890921886,95.17945109078114,1.1498800959232613,22.703836930455637
47113,MADISON,921,18904,19825,671,97887,4.645649432534679,95.35435056746532,1.3725782414307004,28.172876304023845
47165,SUMNER,757,14488,15245,450,175730,4.965562479501476,95.03443752049853,1.6822222222222223,32.19555555555556
47187,WILLIAMSON,630,10116,10746,657,212161,5.8626465661641545,94.13735343383584,0.958904109589041,15.397260273972602
47141,PUTNAM,579,11642,12221,410,75565,4.73774650192292,95.26225349807707,1.4121951219512194,28.39512195121951
47125,MONTGOMERY,567,8361,8928,350,192120,6.350806451612903,93.6491935483871,1.62,23.888571428571428
47119,MAURY,552,10505,11057,362,87606,4.992312562177806,95.0076874378222,1.5248618784530388,29.019337016574585
47011,BRADLEY,467,8539,9006,280,103666,5.185431934266045,94.81456806573395,1.667857142857143,30.49642857142857
47189,WILSON,455,8840,9295,297,128874,4.895104895104895,95.1048951048951,1.531986531986532,29.764309764309765
47063,HAMBLEN,447,8887,9334,233,63465,4.788943646882365,95.21105635311763,1.9184549356223175,38.141630901287556
47031,COFFEE,445,8135,8580,207,54074,5.186480186480186,94.8135198135198,2.1497584541062804,39.29951690821256
47009,BLOUNT,442,11995,12437,379,127135,3.5539117150438204,96.44608828495618,1.16622691292876,31.649076517150394
47001,ANDERSON,414,9435,9849,282,75538,4.203472433749619,95.79652756625038,1.4680851063829787,33.45744680851064
47059,GREENE,364,8588,8952,209,68520,4.066130473637176,95.93386952636283,1.7416267942583732,41.09090909090909
47155,SEVIER,295,8018,8313,212,95523,3.5486587272945984,96.4513412727054,1.3915094339622642,37.820754716981135
47035,CUMBERLAND,255,6435,6690,150,58178,3.811659192825112,96.18834080717488,1.7,42.9
47089,JEFFERSON,239,5275,5514,102,52887,4.334421472615162,95.66557852738484,2.343137254901961,51.71568627450981
47043,DICKSON,236,4784,5020,154,51341,4.701195219123506,95.2988047808765,1.5324675324675325,31.064935064935064
47107,MC MINN,228,5547,5775,124,52569,3.9480519480519485,96.05194805194806,1.8387096774193548,44.733870967741936
47079,HENRY,214,4416,4630,107,32263,4.622030237580994,95.377969762419,2.0,41.271028037383175
47145,ROANE,212,5828,6040,111,52926,3.5099337748344372,96.49006622516556,1.90990990990991,52.5045045045045
47147,ROBERTSON,210,4624,4834,128,68575,4.344228382292098,95.65577161770791,1.640625,36.125
47017,CARROLL,179,4757,4936,76,28137,3.626418152350081,96.37358184764992,2.3552631578947367,62.5921052631579
47167,TIPTON,178,3856,4034,104,61434,4.412493802677243,95.58750619732275,1.7115384615384615,37.07692307692308
47013,CAMPBELL,178,5799,5977,108,39824,2.978082650158943,97.02191734984106,1.6481481481481481,53.69444444444444
47045,DYER,175,5781,5956,109,37751,2.9382135661517794,97.06178643384821,1.6055045871559632,53.03669724770642
47053,GIBSON,173,4885,5058,86,49222,3.4203242388295774,96.57967576117042,2.011627906976744,56.80232558139535
47099,LAWRENCE,172,4068,4240,95,42591,4.056603773584905,95.94339622641509,1.8105263157894738,42.82105263157895
47177,WARREN,169,4326,4495,101,40210,3.759733036707453,96.24026696329254,1.6732673267326732,42.83168316831683
47105,LOUDON,164,4033,4197,104,51024,3.9075530140576604,96.09244698594233,1.5769230769230769,38.77884615384615
47025,CLAIBORNE,154,4752,4906,75,31566,3.1390134529147984,96.8609865470852,2.0533333333333332,63.36
47131,OBION,153,3808,3961,91,30659,3.862660944206009,96.13733905579399,1.6813186813186813,41.84615384615385
47143,RHEA,152,2505,2657,53,32478,5.7207376740684985,94.2792623259315,2.8679245283018866,47.264150943396224
47073,HAWKINS,151,3896,4047,65,56402,3.7311588831233014,96.2688411168767,2.3230769230769233,59.93846153846154
47123,MONROE,148,4191,4339,63,45698,3.410924176077437,96.58907582392257,2.3492063492063493,66.52380952380952
47051,FRANKLIN,144,3634,3778,87,41397,3.8115404976177873,96.18845950238222,1.6551724137931034,41.770114942528735
47183,WEAKLEY,139,3739,3878,67,33776,3.584321815368747,96.41567818463125,2.074626865671642,55.80597014925373
47151,SCOTT,137,3339,3476,43,21949,3.941311852704258,96.05868814729574,3.186046511627907,77.65116279069767
47029,COCKE,134,3371,3505,69,35262,3.823109843081313,96.17689015691869,1.9420289855072463,48.85507246376812
47019,CARTER,131,3548,3679,81,56500,3.5607502038597443,96.43924979614026,1.617283950617284,43.80246913580247
47109,MC NAIRY,128,2861,2989,50,25945,4.28236868517899,95.717631314821,2.56,57.22
47071,HARDIN,116,3368,3484,60,25813,3.329506314580941,96.67049368541906,1.9333333333333333,56.13333333333333
47023,CHESTER,109,2215,2324,32,17097,4.690189328743545,95.30981067125646,3.40625,69.21875
47021,CHEATHAM,108,2188,2296,51,39713,4.70383275261324,95.29616724738676,2.1176470588235294,42.90196078431372
47003,BEDFORD,105,2984,3089,80,46854,3.3991583036581416,96.60084169634186,1.3125,37.3
47133,OVERTON,92,1456,1548,37,21995,5.943152454780361,94.05684754521964,2.4864864864864864,39.351351351351354
47115,MARION,92,2340,2432,50,28355,3.7828947368421053,96.2171052631579,1.84,46.8
47055,GILES,92,2515,2607,63,29024,3.528960490985807,96.47103950901419,1.4603174603174602,39.92063492063492
47005,BENTON,87,1271,1358,24,16154,6.4064801178203234,93.59351988217968,3.625,52.958333333333336
47117,MARSHALL,84,1382,1466,39,31753,5.729877216916781,94.27012278308322,2.1538461538461537,35.43589743589744
47185,WHITE,82,2273,2355,47,26394,3.4819532908704884,96.51804670912951,1.7446808510638299,48.361702127659576
47077,HENDERSON,80,2362,2442,52,27889,3.276003276003276,96.72399672399672,1.5384615384615385,45.42307692307692
47069,HARDEMAN,77,2057,2134,42,25784,3.608247422680412,96.3917525773196,1.8333333333333333,48.976190476190474
47047,FAYETTE,77,2122,2199,34,39336,3.5015916325602547,96.49840836743975,2.264705882352941,62.411764705882355
47159,SMITH,75,1833,1908,26,19279,3.930817610062893,96.0691823899371,2.8846153846153846,70.5
47049,FENTRESS,73,1977,2050,24,17940,3.560975609756097,96.4390243902439,3.0416666666666665,82.375
47103,LINCOLN,68,2417,2485,51,33543,2.7364185110663986,97.26358148893361,1.3333333333333333,47.3921568627451
47041,DE KALB,68,2323,2391,31,19380,2.8439983270598077,97.15600167294019,2.193548387096774,74.93548387096774
47181,WAYNE,67,1936,2003,24,16713,3.344982526210684,96.65501747378931,2.7916666666666665,80.66666666666667
47097,LAUDERDALE,67,1659,1726,36,26497,3.88180764774044,96.11819235225956,1.8611111111111112,46.083333333333336
47091,JOHNSON,65,1805,1870,31,17846,3.4759358288770055,96.52406417112299,2.096774193548387,58.225806451612904
47027,CLAY,59,1423,1482,12,7684,3.98110661268556,96.01889338731444,4.916666666666667,118.58333333333333
47171,UNICOI,58,1663,1721,28,17830,3.37013364323068,96.62986635676933,2.0714285714285716,59.392857142857146
47129,MORGAN,56,1158,1214,15,21639,4.612850082372323,95.38714991762768,3.7333333333333334,77.2
47075,HAYWOOD,54,1965,2019,29,17944,2.674591381872214,97.32540861812778,1.8620689655172413,67.75862068965517
47085,HUMPHREYS,49,1498,1547,30,18281,3.167420814479638,96.83257918552036,1.6333333333333333,49.93333333333333
47111,MACON,47,1712,1759,23,23239,2.67197271176805,97.32802728823195,2.0434782608695654,74.43478260869566
47173,UNION,46,1203,1249,21,19176,3.682946357085669,96.31705364291433,2.1904761904761907,57.285714285714285
47081,HICKMAN,45,1352,1397,25,24502,3.2211882605583395,96.77881173944166,1.8,54.08
47057,GRAINGER,45,1586,1631,22,22942,2.7590435315757205,97.24095646842427,2.0454545454545454,72.0909090909091
47139,POLK,41,1532,1573,27,16722,2.6064844246662426,97.39351557533375,1.5185185185185186,56.74074074074074
47039,DECATUR,38,1390,1428,23,11681,2.661064425770308,97.3389355742297,1.6521739130434783,60.43478260869565
47061,GRUNDY,38,968,1006,13,13359,3.7773359840954273,96.22266401590457,2.923076923076923,74.46153846153847
47033,CROCKETT,37,1182,1219,22,14554,3.0352748154224773,96.96472518457753,1.6818181818181819,53.72727272727273
47015,CANNON,36,804,840,14,13839,4.285714285714286,95.71428571428572,2.5714285714285716,57.42857142857143
47135,PERRY,35,835,870,14,7882,4.022988505747127,95.97701149425288,2.5,59.642857142857146
47169,TROUSDALE,34,751,785,10,8773,4.3312101910828025,95.6687898089172,3.4,75.1
47007,BLEDSOE,31,953,984,15,14413,3.1504065040650406,96.84959349593495,2.066666666666667,63.53333333333333
47101,LEWIS,28,923,951,15,11944,2.9442691903259726,97.05573080967402,1.8666666666666667,61.53333333333333
47083,HOUSTON,25,752,777,9,8188,3.2175032175032174,96.78249678249678,2.7777777777777777,83.55555555555556
47137,PICKETT,25,1004,1029,8,5071,2.4295432458697768,97.57045675413022,3.125,125.5
47153,SEQUATCHIE,24,800,824,13,14654,2.912621359223301,97.0873786407767,1.8461538461538463,61.53846153846154
47161,STEWART,22,753,775,14,13248,2.838709677419355,97.16129032258064,1.5714285714285714,53.785714285714285
47121,MEIGS,20,699,719,9,11830,2.781641168289291,97.2183588317107,2.2222222222222223,77.66666666666667
47067,HANCOCK,20,585,605,16,6605,3.3057851239669422,96.69421487603306,1.25,36.5625
47175,VAN BUREN,11,357,368,3,5675,2.989130434782609,97.01086956521739,3.6666666666666665,119.0
47087,JACKSON,9,341,350,6,11573,2.571428571428571,97.42857142857143,1.5,56.833333333333336
47095,LAKE,8,426,434,12,7588,1.8433179723502304,98.15668202764977,0.6666666666666666,35.5
47127,MOORE,6,251,257,3,6302,2.3346303501945527,97.66536964980544,2.0,83.66666666666667
