,county,fipscounty,population,overdose_deaths,claims_per_county,od_claim_ratio
0,ANDERSON,47001,75538.0,34.0,34882.0,0.9747147525944614
1,BEDFORD,47003,46854.0,3.0,8289.0,0.3619254433586681
2,BENTON,47005,16154.0,5.0,10717.0,0.4665484743864888
3,BLEDSOE,47007,14413.0,2.0,3306.0,0.604960677555959
4,BLOUNT,47009,127135.0,29.0,27352.0,1.0602515355367066
5,BRADLEY,47011,103666.0,14.0,48244.0,0.2901915264074289
6,CAMPBELL,47013,39824.0,5.0,18687.0,0.26756568737625086
7,CANNON,47015,13839.0,3.0,2758.0,1.0877447425670776
8,CARROLL,47017,28137.0,2.0,19512.0,0.1025010250102501
9,CARTER,47019,56500.0,16.0,11230.0,1.4247551202137134
10,CHEATHAM,47021,39713.0,24.0,9250.0,2.5945945945945943
11,CHESTER,47023,17097.0,1.0,9648.0,0.10364842454394693
12,CLAIBORNE,47025,31566.0,2.0,21243.0,0.09414866073530104
13,CLAY,47027,7684.0,2.0,6483.0,0.30849915162733305
14,COCKE,47029,35262.0,6.0,12161.0,0.49338047857906425
15,COFFEE,47031,54074.0,12.0,43957.0,0.27299406237914325
16,CROCKETT,47033,14554.0,0.0,2672.0,0.0
17,CUMBERLAND,47035,58178.0,9.0,24193.0,0.37200843219112967
18,DAVIDSON,47037,678322.0,184.0,284885.0,0.6458746511750355
19,DE KALB,47041,19380.0,7.0,8022.0,0.8726003490401396
20,DECATUR,47039,11681.0,0.0,2188.0,0.0
21,DICKSON,47043,51341.0,6.0,21995.0,0.272789270288702
22,DYER,47045,37751.0,1.0,20399.0,0.049022010882886415
23,FAYETTE,47047,39336.0,3.0,8567.0,0.3501809268121863
24,FENTRESS,47049,17940.0,1.0,12819.0,0.07800920508620017
25,FRANKLIN,47051,41397.0,3.0,13808.0,0.21726535341830822
26,GIBSON,47053,49222.0,6.0,16359.0,0.36677058499908305
27,GILES,47055,29024.0,5.0,7186.0,0.695797383801837
28,GRAINGER,47057,22942.0,1.0,3675.0,0.27210884353741494
29,GREENE,47059,68520.0,17.0,31535.0,0.5390835579514826
30,GRUNDY,47061,13359.0,1.0,6343.0,0.15765410688948447
31,HAMBLEN,47063,63465.0,9.0,45241.0,0.19893459472602285
32,HAMILTON,47065,354589.0,60.0,199917.0,0.3001245516889509
33,HANCOCK,47067,6605.0,3.0,878.0,3.416856492027335
34,HARDEMAN,47069,25784.0,4.0,7597.0,0.5265236277477952
35,HARDIN,47071,25813.0,2.0,11393.0,0.17554638813306417
36,HAWKINS,47073,56402.0,5.0,15030.0,0.33266799733865604
37,HAYWOOD,47075,17944.0,0.0,4568.0,0.0
38,HENDERSON,47077,27889.0,5.0,4898.0,1.0208248264597795
39,HENRY,47079,32263.0,2.0,21914.0,0.09126585744273066
40,HICKMAN,47081,24502.0,3.0,4759.0,0.6303845345660853
41,HOUSTON,47083,8188.0,1.0,1813.0,0.5515719801434088
42,HUMPHREYS,47085,18281.0,4.0,3295.0,1.2139605462822458
43,JACKSON,47087,11573.0,2.0,1042.0,1.9193857965451055
44,JEFFERSON,47089,52887.0,7.0,26452.0,0.26463027370331166
45,JOHNSON,47091,17846.0,1.0,6281.0,0.15921031682853048
46,KNOX,47093,452286.0,196.0,242440.0,0.8084474509156905
47,LAKE,47095,7588.0,0.0,220.0,0.0
48,LAUDERDALE,47097,26497.0,2.0,6170.0,0.32414910858995133
49,LAWRENCE,47099,42591.0,7.0,17380.0,0.4027617951668585
50,LEWIS,47101,11944.0,2.0,3076.0,0.6501950585175553
